data;volume_total_mes;oscilacao_media;noticias_veiculadas
01/12/2021;13323866146.00;0.006228;29
01/11/2021;11505707878.00;0.004595;25
01/10/2021;11835912893.00;0.000495;37
01/09/2021;10397116338.00;0.000642;26
01/08/2021;10937025285.00;0.003595;25
01/07/2021;7435776891.00;0.004457;22
01/06/2021;14486576382.00;0.006285;30
01/05/2021;9457232650.00;0.007066;45
01/04/2021;10280765370.00;0.000040;13
01/03/2021;15191681651.00;0.003686;45
01/02/2021;18580496585.00;0.009672;57
01/01/2021;9141294146.00;0.002578;30
01/12/2020;7404915433.00;0.006230;32
01/11/2020;10406505330.00;0.015450;22
01/10/2020;7933165803.00;0.001495;31
01/09/2020;9488131141.00;0.005533;42
01/08/2020;7824792730.00;0.000542;27
01/07/2020;7023749949.00;0.001304;32
01/06/2020;8265294569.00;0.003580;31
01/05/2020;8300489474.00;0.006150;10
01/04/2020;10192086704.00;0.014735;1
01/03/2020;17746846092.00;0.021318;0
01/02/2020;20242636429.00;0.005733;2
01/01/2020;7926823792.00;0.002222;0
01/12/2019;6522780623.00;0.001452;0
01/11/2019;6778876261.00;0.002094;2
01/10/2019;5717377851.00;0.003634;10
01/09/2019;4508401796.00;0.003171;8
01/08/2019;6717830893.00;0.000259;15
01/07/2019;6454955231.00;0.001827;8
01/06/2019;8490259562.00;0.003373;10
01/05/2019;5432807700.00;0.002422;7
01/04/2019;6743771318.00;0.001547;11
01/03/2019;7102436152.00;0.002552;7
01/02/2019;5591010753.00;0.000655;1
01/01/2019;7491351889.00;0.007361;17
01/12/2018;5839101539.00;0.005288;11
01/11/2018;6143183641.00;0.003510;13
01/10/2018;9186750548.00;0.010795;14
01/09/2018;3860652624.00;0.005057;5
01/08/2018;4674988773.00;0.000552;10
01/07/2018;3577610685.00;0.005995;6
01/06/2018;6170702805.00;0.005361;19
01/05/2018;1048116425.00;0.002904;34
01/04/2018;3706836234.00;0.002766;6
01/03/2018;4345500157.00;0.000590;7
01/02/2018;4714792683.00;0.004961;4
01/01/2018;3616573395.00;0.011228;9
